Dataset,type,Authors,Publication year,Title,Journal/Book title/ Report type,Vol(issue)/Report no,pagination,doi no/ISBN no/Ref.,URL,,,catalogue link
erbe,techreport,"Halyo, N., S. H. Choi",1987,Development of Response Models for the Earth Radiation Budget Experiment (ERBE) Sensors: Part 4: Preliminary Nonscanner Models and Count Conversion Algorithms,NASA Contractor Report,NASA-CR-178295,.1-58,,http://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19880000935_1988000935.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,techreport,"Halyo, Nesim; Choi, Sang H.; Chrisman, Dan A., Jr.; Samms, Richard W.",1987,"Development of Response Models for the ERBE Sensors: Part 1- Dynamic Models and Computer Simulations for the ERBE Nonscanner, Scanner and Solar Monitor Sensors",NASA Contractor Report,NASA-CR-178292,1-296,,http://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19880004175_1988004175.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,techreport,"Halyo, Nesim; Taylor, Deborah B.",1987,Development of response models for the Earth Radiation Budget Experiment (ERBE) sensors. Part 2: Analysis of the ERBE integrating sphere ground calibration,NASA Contractor Report,NASA-CR-178293,.1-52,,http://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19880000934_1988000934.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,proceedings,"Harrison, E. F., G. G. Gibson",1991,Seasonal Cloud-Radiative Forcing Over Land and Ocean Derived From ERBE Satellites,AIAA 29th Aerospace Sciences Meeting,AIAA 91-0052,39600,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Harrison, E. F., P. Minnis, G. G. Gibson",1983,Orbital and Cloud Cover Sampling Analyses for Mutlisatellite Earth Radiation Budget Experiments,J. Spacecraft Rockets,20(5),491-495,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,proceedings,"Harrison, Edwin F.",1990,Observations from the NASA Multisatellite Earth Radiation Budget Experiment,AIAA 28th Aerospace Sciences Meeting,AIAA-90-0265,39539,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Hartmann, D. L., D. Doelling",1991,On the Net Radiative Effectiveness of Clouds,J. Geophys. Res.,96(D1),869-891,10.1029/90JD02065,http://dx.doi.org/10.1029/90JD02065,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Hartmann, D. L., E. E. Recker",1986,Diurnal Variation of Outgoing Longwave Radiation in the Tropics,J. Clim. Appl. Meteorol.,25(6),800-812,10.1175/1520-0450(1986)025<0800:DVOOLR>2.0.CO;2,http://ams.allenpress.com/archive/1520-0450/25/6/pdf/i1520-0450-25-6-800.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Hartmann, D. L., M. E. Ockert-Bell, M.L. Michelson",1992,The Effect of Cloud Type on Earth's Energy Balance: Global Analysis,J. Clim.,5(11),1281-1304,10.1175/1520-0442(1992)005<1281:TEOCTO>2.0.CO;2,http://ams.allenpress.com/archive/1520-0442/5/11/pdf/i1520-0442-5-11-1281.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Hartmann, D. L., M. L. Michelsen",1993,Large-Scale Effects on the Regulation of Tropical Sea-Surface Temperature,J. Clim.,6(11),2049-2062,10.1175/1520-0442(1993)006<2049:LSEOTR>2.0.CO;2,http://ams.allenpress.com/archive/1520-0442/6/11/pdf/i1520-0442-6-11-2049.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Hartmann, D. L., M. L. Michelsen",1993,Large-Scale Effects on Regulation of Tropical Sea Surface Temperature,J. Clim.,6(11),2049-2062,10.1175/1520-0442(1993)006<2049:LSEOTR>2.0.CO;2,http://ams.allenpress.com/archive/1520-0442/6/11/pdf/i1520-0442-6-11-2049.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Hartmann, D. L., V. Ramanathan, A. Berroir, G.E. Hunt",1986,Earth Radiation Budget Data and Climate Research,Rev. Geophys.,24(2),439-468,10.1029/RG024i002p00439,http://www.agu.org/journals/rg/v024/i002/RG024i002p00439/RG024i002p00439.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"House, F., A. Gruber, G. Hunt, and A. Mecherikunnel",1986,History of Satellite Missions and Measurements of the Earth Radiation Budget (1957-1984),Rev. Geophys.,24(2),357-377,10.1029/RG024i002p00357,http://www.agu.org/journals/rg/v024/i002/RG024i002p00357/RG024i002p00357.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Hoyt, D. V., H. L. Kyle, J. R. Hickey, and R. B. Lee",1989,Nimbus - 7 and ERBE Solar Irradiance Measurements During the Rising Portion of Cycle 22,EOS Trans. Am. Geophys. Union,70(15),34,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Hunt, G. E., R. Kandel, A. T. Mecherikunnel,",1986,A History of Presatellite Investigations of the Earth's Radiation Budget,Rev. Geophys.,24(2),351-356,10.1029/RG024i002p00351,http://www.agu.org/journals/rg/v024/i002/RG024i002p00351/RG024i002p00351.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Kandel, R. S",1990,Satellite Observation of the Earth Radiation Budget and Clouds,Space Sci. Rev.,52(1-2),.1-32,10.1007/BF00704238,http://dx.doi.org/10.1007/BF00704238,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,proceedings,"Kandel, R. S., F. Cheruy, J. P. Duvel",1990,Determination of Outgoing Longwave Radiation and its Diurnal Variation Using ERBE and METEOSAT Observations,SPIE Proceedings,1299,243-252,10.1117/12.21382,http://dx.doi.org/10.1117/12.21382,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Kandel, R., Y. Fouquart",1992,El Balance Radiativo de la Tierra,Mundo Scientifico,12(124),426-434,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Kandel, R., Yves Fouquart,",1992,Le Bilan Radiatif De La Terre,La Recherche,23(241),316-324,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Kann, D. M., S. K. Yang, A. J. Miller",1993,Mean Meridional Transport of Energy in the Earth-Atmosphere System Using NMC Global Analyses and ERBE Radiation Data,Tellus A,46(5),553-565,10.1034/j.1600-0870.1994.t01-2-00001.x,http://dx.doi.org/10.1034/j.1600-0870.1994.t01-2-00001.x,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,proceedings,Kathryn A. Bush; G. Louis Smith; Robert B. Lee III; David F. Young,2003,The earth radiation budget experiment (ERBE) 15-year data set,SPIE Proceedings,4882,71-79,10.1117/12.463008,http://dx.doi.org/10.1117/12.463008,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Kiehl, J. T., V. Ramanathan",1990,Comparison of Cloud Forcing Derived from the Earth Radiation Budget Experiment with the NCAR Community Climate Model,J. Geophys. Res.,95(D8),11679-11698,10.1029/JD095iD08p11679,http://dx.doi.org/10.1029/JD095iD08p11679,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Kim, Y., R. D. Cess",1993,Effect of Anthropogenic Sulfate Aerosols on Low-Level Cloud Albedo over Oceans,J. Geophys. Res.,98(D8),14883-14885,10.1029/93JD01211,http://dx.doi.org/10.1029/93JD01211,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"King, M. D., Harshvardhan",1986,Comparative Accuracy of Selected Multiple Scattering Approximations,J. Atmos. Sci.,43(8),784-801,10.1175/1520-0469(1986)043<0784:CAOSMS>2.0.CO;2,http://dx.doi.org/10.1175/1520-0469(1986)043<0784:CAOSMS>2.0.CO;2,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,techreport,"King, M. D., Harshvardhan",1986,"Comparative Accuracy of the Albedo, Transmission and Absorption for Selected Radiative Transfer Approximations",NASA Reference Publication,NASA-RP-1160,.1-47,,http://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19860012551_1986012551.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"King, M. D., R. J. Curran,",1980,The Effect of a Nonuniform Planetary Albedo on the Interpretation of Earth Radiation Budget Observations,J. Atmos. Sci.,37(6),1262-1278,10.1175/1520-0469(1980)037<1262:TEOANP>2.0.CO;2,http://dx.doi.org/10.1175/1520-0469(1980)037<1262:TEOANP>2.0.CO;2,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Klein, S., D. L. Hartmann",1993,The Seasonal Cycle of Low Stratiform Clouds,J. Clim.,6(8),1587-1606,10.1175/1520-0442(1993)006<1587:TSCOLS>2.0.CO;2,http://ams.allenpress.com/archive/1520-0442/6/8/pdf/i1520-0442-6-8-1587.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Kondragunta, C. R., A. T. Mecherikunnel, H. L. Kyle",1990,Annual Variation of the Diurnal and Semi-Diurnal Cycles in the Outgoing Long Wave Radiation,EOS Trans. Am. Geophys. Union,71(17),473,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Kopia, L. P.",1986,Earth Radiation Budget Experiment Scanner Instrument,Rev. Geophys.,24(2),400-406,10.1029/RG024i002p00400,http://www.agu.org/journals/rg/v024/i002/RG024i002p00400/RG024i002p00400.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Kopia, Leonard P., R. B. Lee III,",1992,Thermistor Bolometer Scanning Radiometer: Applications and flight experience,Opt. Eng.,31(1),156-165,10.1117/1.2170624,http://dx.doi.org/10.1117/1.2170624,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,proceedings,"Kyle, H. L",1990,Nimbus-7 Earth Radiation Budget Data Set and Its Uses,SPIE Proceedings,1299,27-39,10.1117/12.21361,http://dx.doi.org/10.1117/12.21361,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Kyle, H. L., A. T. Mecherikunnel, C. R. Kondragunta",1990,Clouds and the Earth's Radiation Budget,EOS Trans. Am. Geophys. Union,71(17),473,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,techreport,"Kyle, H. Lee; Hucek, Richard R.; Groveman, Brian; Frey, Richard",1990,"User's guide: Nimbus-7 Earth radiation budget narrow-field-of-view products. Scene radiance tape products, sorting into angular bins products, and maximum likelihood cloud estimation products",NASA Reference Publication,NASA-RP-1246,.1-77,,http://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19910003730_1991003730.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Le Treut, H., R. Kandel",1992,Que nous apprennent les modeles du climat?,La Recherche,23(243),572-583,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Lee, R. B. III",1992,Implications of Solar Irradiance Variability Upon Long-Term Changes in the Earth's Atmospheric Temperatures,Journal of the NTA,65(4),65-71,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,techreport,"Lee, R. B. III",1988,Earth Radiation Budget Experiment (ERBE) Solar Irradiance Values,Solar-Geophysical Data Comprehensive Report,538-II,101-113,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,proceedings,"Lee, R. B. III,",1991,Flight solar calibrations using the mirror attenuator mosaic: low-scattering mirror,SPIE Proceedings,1493,267-280,10.1117/12.46704,http://dx.doi.org/10.1117/12.46704,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Lee, R. B. III, B. R. Barkstrom",1991,Characterization of the Earth Radiation Budget Experiment Radiometers,Metrologia,28(3),183-187,10.1088/0026-1394/28/3/015,http://dx.doi.org/10.1088/0026-1394/28/3/015,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Lee, R. B. III, B. R. Barkstrom, R. D. Cess",1987,Characteristics of the Earth Radiation Budget Experiment Solar Monitors,Appl. Optic.,26(15),3090-3096,10.1364/AO.26.003090,http://dx.doi.org/10.1364/AO.26.003090,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Lee, R. B. III, L. M. Avis, Gibson, M. A.; Kopia, L.P.",1992,Characterizations of the Mirror Attenuator Mosaic: Solar Diffuser Plate,Appl. Optic.,31(31),6643-6652,10.1364/AO.31.006643,http://dx.doi.org/10.1364/AO.31.006643,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Lee, R. E. III, M. A. Woerner, et. al.",1988,Cyclic Variations in Total Solar Irradiance,EOS Trans. Am. Geophys. Union,69(44),1354,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Lee, Robert B., III; Barkstrom, Bruce R.; Avis, Lee M.; Halyo, Nesim; Gibson, Michael A.",1989,Characterizations of the Earth Radiation Budget Experiment (ERBE) Scanning Radiometers,"SPIE: Optical Radiation Measurements II,",1109,186-194,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Li, Z., H. G. Leighton, R. D. Cess",1993,Surface Net Solar Radiation Estimated from Satellite Measurements: Comparisons with Tower Observations,J. Clim.,6(9),1764-1772,10.1175/1520-0442(1993)006<1764:SNSREF>2.0.CO;2,http://ams.allenpress.com/archive/1520-0442/6/9/pdf/i1520-0442-6-9-1764.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Luther, M. R., J. E. Cooper, G. R. Taylor",1986,The Earth Radiation Budget Experiment Nonscanner Instrument,Rev. Geophys.,24(2),391-399,10.1029/RG024i002p00391,http://www.agu.org/journals/rg/v024/i002/RG024i002p00391/RG024i002p00391.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Luther, Michael R; Lee lll, Robert B; Barkstrom, Bruce R; Cooper, John E; Cess, Robert D; Duncan, Charles H",1986,Solar Calibration Results From Two Earth Radiation Budget Experiment (ERBE) Nonscanner Instruments,Appl. Optic.,25(4),540-545,10.1364/AO.25.000540,http://dx.doi.org/10.1364/AO.25.000540,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Lutz, H.J., W.L. Smith, E. Raschke",1990,A Note on the Improvement of Tiros Operational Vertical Sounder Temperature Retrievals above the Antarctic Snow & Ice Fields,J. Geophys. Res.,95(D8),"11,747-11,754",10.1029/JD095iD08p11747,http://dx.doi.org/10.1029/JD095iD08p11747,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Mahan, J R; Tira, N E; Lee III, Robert B; Keynton, R J",1989,Comparison of the Measured and Predicted Response of the Earth Radiation Budget Experiment Active Cavity Radiometer During Solar Observations,Appl. Optic.,28(7),1327-1337,10.1364/AO.28.001327,http://dx.doi.org/10.1364/AO.28.001327,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,proceedings,Martial P. Haeffelin; J. Robert Mahan; Nour E. Tira; Jeffrey L. Meekins; Robert B. Lee III; Robert J. Keynton,1993,A high-order end-to-end model for the ERBE scanning thermistor bolometer radiometers,SPIE Proceedings,1934,150-161,10.1117/12.154900,http://dx.doi.org/10.1117/12.154900,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,proceedings,Martial P. Haeffelin; J. Robert Mahan; Robert B. Lee III; Robert J. Keynton,1993,A dynamic electrothermal model of the ERBE nonscanning channels,SPIE Proceedings,1934,140-149,10.1117/12.154899,http://dx.doi.org/10.1117/12.154899,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"McMillin, L., S.-S. Zhou and S.-K. Yang",994,An Improved Algorithm from HIRS2/MSU for Cloud Retrieval,J. Appl. Meteorol.,33(2),195-211,10.1175/1520-0450(1994)033<0195:AICRAU>2.0.CO;2,http://ams.allenpress.com/archive/1520-0450/33/2/pdf/i1520-0450-33-2-195.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Mecherikunnel, A. T., H. L. Kyle, C. R. Kondragunta",1990,The Annual Radiation Budget of the Earth-Atmosphere System During 1985-1986 from the Earth Radiation Budget Experiment,EOS Trans. Am. Geophys. Union,71(17),473,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,proceedings,Michael A. Gibson; Robert B. Lee III; Susan Thomas,1992,Evaluation of the Earth Radiation Budget Experiment (ERBE) Shortwave Channel's Stability Using In-Flight Calibration Sources,SPIE Proceedings,1745,208-216,10.1117/12.60613,http://dx.doi.org/10.1117/12.60613,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Michael D. King,  Harshvardhan, and Albert Arking",1984,A Model of the Radiative Properties of the El Chichon Stratospheric Aerosol Layer,J. Clim. Appl. Meteorol.,23(7),1121-1137,10.1175/1520-0450(1984)023<1121:AMOTRP>2.0.CO;2,http://ams.allenpress.com/archive/1520-0450/23/7/pdf/i1520-0450-23-7-1121.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,proceedings,"Miller, A. J., S.-K. Yang, D. M. Kann",1990,Atmospheric Energetics and Earth Radiation Budget,SPIE Proceedings,1299,40-49,10.1117/12.21362,http://dx.doi.org/10.1117/12.21362,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Minnis, P.",1989,Viewing Zenith Angle Dependence of Cloudiness Determined from Coincident GOES-East and GOES-West Data,J. Geophys. Res.,94(D2),2303-2320,10.1029/JD094iD02p02303,http://dx.doi.org/10.1029/JD094iD02p02303,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Minnis, P., B. A. Wielicki",1988,A Comparison of Satellite-derived Cloud Cover Amount Using GOES and Landsat Data,J. Geophys. Res.,93(D8),9385-9403,10.1029/JD093iD08p09385,http://dx.doi.org/10.1029/JD093iD08p09385,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Minnis, P., E. F. Harrison, et. al",1993,Radiative Climate Forcing by the Mount Pinatubo Eruption,AAAS Science,259,1369-1508,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Minnis, P., P. W. Heck, E. F. Harrison",1990,The 27-28 October 1986 FIRE IFO Cirrus Case Study: Cloud Parameter Fields Derived from Satellite Data,Mon. Weather Rev.,118(11),2426-2447,10.1175/1520-0493(1990)118<2426:TOFICC>2.0.CO;2,http://dx.doi.org/10.1175/1520-0493(1990)118<2426:TOFICC>2.0.CO;2,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Ockert-Bell, M. E., D. L. Hartmann",1992,The Effect of Cloud Type on Earth's Energy Balance: Results for Selected Regions,J. Clim.,5(10),1157-1171,10.1175/1520-0442(1992)005<1157:TEOCTO>2.0.CO;2,http://ams.allenpress.com/archive/1520-0442/5/10/pdf/i1520-0442-5-10-1157.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,techreport,"Paden, Jack; Pandey, Dhirendra K.; Shivakumar, Netra D.; Stassi, Joseph C.; Wilson, Robert; Bolden, William; Thomas, Susan; Gibson, M. Alan",1991,"Radiometer Offsets & Count Conversion Coefficients for the Earth Radiation Budget Experiment (ERBE) Spacecraft for the Years 1984, 1985, and 1986",NASA Contractor Report,NASA-CR-187589,1-388,,http://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19910018388_1991018388.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,techreport,"Paden, Jack; Pandey, Dhirendra K.; Stassi, Joseph C.; Wilson, Robert; Bolden, William; Thomas, Susan; Gibson, M. Alan",1993,"Radiometer Offsets and Count Conversion Coefficients for the Earth Radiation Budget Experiment (ERBE) Spacecraft for the Years 1987, 1988, and 1989",NASA Contractor Report,NASA-CR-191489,1-206,,http://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19940008300_1994008300.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Patrick Minnis,  David F. Young, and Edwin F. Harrison",1991,Examination of the Relationship Between Outgoing Infrared Window and Total Longwave Fluxes Using Satellite Data,J. Clim.,4(11),1114-1133,10.1175/1520-0442(1991)004<1114:EOTRBO>2.0.CO;2,http://ams.allenpress.com/archive/1520-0442/4/11/pdf/i1520-0442-4-11-1114.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Patrick Minnis,  Joseph M. Alvarez,  Kenneth Sassen,  David F. Young, and Christian J. Grund",1989,The 27-28 October 1986 FIRE IFO Cirrus Case Study: Cirrus Parameter Relationships Derived from Satellite and Lidar Data,Mon. Weather Rev.,118(11),2402-2425,10.1175/1520-0493(1990)118<2402:TOFICC>2.0.CO;2,http://dx.doi.org/10.1175/1520-0493(1990)118<2402:TOFICC>2.0.CO;2,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Philip E. Ardanuy,  Larry L. Stowe,  Arnold Gruber,  Mitchell Weiss, and Craig S. Long",1989,Longwave Cloud Radiative Forcing as Determined from Nimbus-7 Observations,J. Clim.,2(8),766-799,10.1175/1520-0442(1989)002<0766:LCRFAD>2.0.CO;2,http://ams.allenpress.com/archive/1520-0442/2/8/pdf/i1520-0442-2-8-766.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Potter G.L., Cess, R. D., E. F. Harrison, P. Minnis, V. Ramanathan",1988,Diurnal Variability of the Planetary Albedo: An Appraisal with Satellite Measurements and General Circulation Models,J. Clim.,1(3),233-239,10.1175/1520-0442(1988)001<0233:DVOTPA>2.0.CO;2,http://ams.allenpress.com/archive/1520-0442/1/3/pdf/i1520-0442-1-3-233.pdf,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Preuss, H. J., J. F. Geleyn",1989,Surface Albedos Derived From Satellite Data and Their Impact on Forecast Models,"Archiv fur Meteorol., Geophys. und Biokl.",29,345-356,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Preuss, H. J., M. Daniel, E. Raschke",1984,Studies of the Sampling of Space-born Radiation Budget Measurements,Meteorol. Rdsch.,37,52-73,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"Quenzel, H., E. Raschke",1985,Satellite Measurements of Radiation Budget Parameters,BMFT-FB,W82-006,170,,,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
erbe,article,"R B Lee III, M A Gibson, N Shivakumar, R Wilson, H L Kyle and A T Mecherikunnel",1991,Solar Irradiance Measurements: Minimum through Maximum Solar Activity,Metrologia,28(3),265-268,10.1088/0026-1394/28/3/032,http://dx.doi.org/10.1088/0026-1394/28/3/032,,,not available via api and MOLES1 URL - https://catalogue.ceda.ac.uk/uuid/1ef9f265346e2e211c6c0a7dc22b270e maybe this?
